|CODPROD|DESCRICAO                               |
|556    |CARNE FRALDINHA CARNE                   |
|557    |POLPA TANGERINA DOSADA 500G- PCT 5 UN   |
|558    |CALDO DE GALINHA CREMMY 10X1KG          |
|559    |CALDO CARNE CREMMY 10X1KG               |
|560    |QUEIJO GORGONZOLA PECA- B.ITALIA        |
|561    |CAIXA PIZZA K35  BRANCA                 |
|562    |CAIXA PIZZA  K30 BRANCA                 |
|563    |CAIXA PIZZA K25 PINTADA                 |
|564    |MOLHO INGLES  CEPERA 24X150ML           |
|565    |MOSTARDA AMAR CEPERA 3,3L               |
|566    |MAIONESE GOSTOSAO SACHE 170X6G          |
|567    |CATCHUP SACHET GOSTOSAO 168X6           |
|568    |MAIONESE SOYA SACHE 24X200              |
|569    |MAIONESE PRIMOR SACHE 24X200            |
|573    |MOLHO TOMATE HOT DOG SACHE 6X2KG        |
|574    |DUETO MILHO/ERVILHA GOIAS V.24X200G     |
|575    |MOLHO TOMATE HOT DOG SACHE 24X340G      |
|576    |CATCHUP BONARE TP TRAD 24X300G          |
|577    |ERVILHA GOIAS V. 6X2KG                  |
|578    |MILHO GOIAS V LT 6X1,7KG                |
|580    |AGUA DE COCO VITCOCO LT 12X335ML        |
|581    |CAIXA  PIZZA 40 PINTADA                 |
|582    |AMACIANTE CARNE CREMMY 10X1KG           |
|583    |CREME DE CEBOLA CREMMY 10X1KG           |
|584    |MAIONESE TRAD SACH STANDUP CREMY 24X190G|
|585    |MOLHO PIM CREMY 24X150ML                |
|586    |MOLHO INGLES CREMMY 24X150ML            |
|587    |CATCHUP TRAD STANDUP CREMY 24X190GR     |
|588    |MOLHO SHOYU CREMMY 12X900ML             |
